tanggal,kecamatan,produk,kategori_produk,jenis_pelanggan,channel_penjualan,jumlah_terjual,harga_satuan,total_penjualan,suhu_udara_celsius,musim,hari_libur,promo_aktif,stok_awal,stok_sisa,jarak_pengiriman_km,biaya_distribusi,metode_pembayaran,rating_pelanggan
2024-01-14,Musuk,Susu UHT,Susu Cair,Pasar Tradisional,Offline,37,8640.0,319680.0,25.0,Hujan,Ya,Tidak,99,64,14,7204,Tunai,4.0
2024-01-14,Ampel,Es Krim,Snack,Warung,Offline,31,6882.0,213342.0,25.0,Hujan,Ya,Tidak,78,44,14,7380,Tunai,5.0
2024-01-15,Mojosongo,Susu UHT,Susu Cair,Restoran/Kafe,Offline,54,8354.0,451116.0,26.0,Hujan,Tidak,Tidak,80,29,9,4920,QRIS,3.4
2024-01-15,Boyolali Kota,Yogurt,Olahan,Pasar Tradisional,Titip Jual,39,9644.0,376116.0,26.0,Hujan,Tidak,Tidak,93,55,8,4757,QRIS,4.3
2024-01-16,Ampel,Susu UHT,Susu Cair,Toko Modern,Offline,47,9129.0,429063.0,26.2,Hujan,Tidak,Tidak,75,33,15,7728,QRIS,4.2
2024-01-16,Cepogo,Yogurt,Olahan,Pasar Tradisional,Offline,62,9872.0,612064.0,26.2,Hujan,Tidak,Tidak,135,74,19,9419,QRIS,4.3
2024-01-16,Cepogo,Permen Susu,Snack,Toko Modern,Online,35,4100.0,143500.0,26.2,Hujan,Tidak,Ya,87,51,18,9448,Tunai,3.5
2024-01-16,Musuk,Susu Segar,Susu Cair,Warung,Offline,49,11684.0,572516.0,26.2,Hujan,Tidak,Tidak,95,46,14,7148,Transfer,4.0
2024-01-17,Ampel,Susu Segar,Susu Cair,Pasar Tradisional,Online,59,11736.0,692424.0,23.0,Hujan,Tidak,Tidak,116,56,10,4833,Tunai,3.7
2024-01-17,Ampel,Susu UHT,Susu Cair,Toko Modern,Online,38,8615.0,327370.0,23.0,Hujan,Tidak,Tidak,81,40,14,8764,Tunai,4.3
2024-01-17,Musuk,Permen Susu,Snack,Pasar Tradisional,Offline,25,4775.0,119375.0,23.0,Hujan,Tidak,Tidak,92,71,16,7624,Transfer,4.0
2024-01-17,Ampel,Keju Mozzarella,Olahan,Warung,Offline,23,29037.0,667851.0,23.0,Hujan,Tidak,Tidak,49,29,15,8339,QRIS,4.8
2024-01-18,Ampel,Es Krim,Snack,Warung,Online,61,6968.0,425048.0,27.6,Hujan,Tidak,Tidak,100,37,17,7453,QRIS,4.6
2024-01-18,Ampel,Permen Susu,Snack,Warung,Offline,42,5284.0,221928.0,27.6,Hujan,Tidak,Tidak,119,78,10,5839,QRIS,4.3
2024-01-18,Boyolali Kota,Susu Segar,Susu Cair,Toko Modern,Offline,81,9840.0,797040.0,27.6,Hujan,Tidak,Ya,140,58,7,4238,QRIS,4.2
2024-01-19,Boyolali Kota,Susu Segar,Susu Cair,Warung,Titip Jual,42,12175.0,511350.0,21.8,Hujan,Tidak,Tidak,71,31,2,2590,Tunai,4.5
2024-01-19,Cepogo,Susu Segar,Susu Cair,Warung,Offline,60,12094.0,725640.0,21.8,Hujan,Tidak,Tidak,125,63,18,8115,Tunai,4.8
2024-01-19,Boyolali Kota,Yogurt,Olahan,Warung,Offline,31,10309.0,319579.0,21.8,Hujan,Tidak,Tidak,47,21,2,2779,Tunai,4.1
2024-01-20,Musuk,Susu Segar,Susu Cair,Warung,Offline,59,11649.0,687291.0,26.2,Hujan,Ya,Tidak,89,32,17,8258,Tunai,4.1
2024-01-20,Cepogo,Es Krim,Snack,Pasar Tradisional,Offline,46,6598.0,303508.0,26.2,Hujan,Ya,Tidak,71,25,22,10812,Transfer,4.9
2024-01-20,Boyolali Kota,Permen Susu,Snack,Toko Modern,Online,33,5290.0,174570.0,26.2,Hujan,Ya,Tidak,90,59,2,2579,QRIS,4.5
2024-01-20,Musuk,Yogurt,Olahan,Warung,Titip Jual,41,9482.0,388762.0,26.2,Hujan,Ya,Tidak,75,34,16,8031,QRIS,4.7
2024-01-21,Selo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,43,12232.0,525976.0,22.7,Hujan,Ya,Tidak,95,52,22,10687,QRIS,4.8
2024-01-21,Musuk,Permen Susu,Snack,Toko Modern,Offline,29,4818.0,139722.0,22.7,Hujan,Ya,Tidak,61,37,13,6634,QRIS,3.8
2024-01-21,Cepogo,Susu Segar,Susu Cair,Warung,Offline,41,12099.0,496059.0,22.7,Hujan,Ya,Tidak,79,36,20,10868,Tunai,4.6
2024-01-21,Mojosongo,Permen Susu,Snack,Warung,Offline,25,5082.0,127050.0,22.7,Hujan,Ya,Tidak,60,40,10,6178,QRIS,4.2
2024-01-22,Musuk,Yogurt,Olahan,Toko Modern,Offline,63,8200.0,516600.0,24.2,Hujan,Tidak,Ya,94,31,18,10254,Tunai,4.4
2024-01-22,Mojosongo,Susu Segar,Susu Cair,Pasar Tradisional,Online,51,12079.0,616029.0,24.2,Hujan,Tidak,Tidak,112,59,6,4570,Tunai,4.5
2024-01-22,Cepogo,Keju Mozzarella,Olahan,Restoran/Kafe,Offline,18,27762.0,499716.0,24.2,Hujan,Tidak,Tidak,54,39,18,10533,QRIS,3.8
2024-01-23,Mojosongo,Permen Susu,Snack,Toko Modern,Offline,49,4100.0,200900.0,23.7,Hujan,Tidak,Ya,116,70,5,3595,Tunai,3.9
2024-01-23,Ampel,Susu UHT,Susu Cair,Warung,Online,39,8942.0,348738.0,23.7,Hujan,Tidak,Tidak,104,69,11,7326,Transfer,4.7
2024-01-23,Boyolali Kota,Yogurt,Olahan,Pasar Tradisional,Offline,34,9925.0,337450.0,23.7,Hujan,Tidak,Tidak,88,58,5,3189,Tunai,3.8
2024-01-24,Cepogo,Susu Segar,Susu Cair,Warung,Online,47,12028.0,565316.0,25.9,Hujan,Tidak,Tidak,120,76,16,8688,Transfer,4.0
2024-01-24,Musuk,yogurt,Olahan,Pasar Tradisional,Online,46,10163.0,467498.0,25.9,Hujan,Tidak,Tidak,125,76,21,9207,QRIS,4.5
2024-01-24,Boyolali Kota,Yogurt,Olahan,Warung,Offline,38,9921.0,376998.0,25.9,Hujan,Tidak,Tidak,64,25,6,3660,QRIS,4.1
2024-01-25,Ampel,Keju Mozzarella,Olahan,Restoran/Kafe,Offline,35,28865.0,1010275.0,23.1,Hujan,Tidak,Tidak,52,21,13,6232,QRIS,3.9
2024-01-25,Ampel,Susu Segar,Susu Cair,Pasar Tradisional,Offline,45,12516.0,563220.0,23.1,Hujan,Tidak,Tidak,118,75,18,7731,QRIS,4.0
2024-01-26,Cepogo,Yogurt,Olahan,Warung,Offline,66,9873.0,651618.0,20.9,Hujan,Tidak,Tidak,93,31,20,9375,Transfer,4.3
2024-01-26,Musuk,Susu Segar,Susu Cair,Warung,Titip Jual,46,,,20.9,Hujan,Tidak,Tidak,81,32,15,7518,Transfer,4.4
2024-01-27,Musuk,Permen Susu,Snack,Warung,Offline,25,4989.0,124725.0,26.4,Hujan,Ya,Tidak,61,41,18,9907,QRIS,4.1
2024-01-27,Mojosongo,Es Krim,Snack,Toko Modern,Offline,43,6975.0,299925.0,26.4,Hujan,Ya,Tidak,93,47,9,6148,Tunai,5.0
2024-01-27,Selo,Keju Mozzarella,Olahan,Pasar Tradisional,Offline,45,27687.0,1245915.0,26.4,Hujan,Ya,Tidak,63,23,20,9305,Tunai,4.1
2024-01-27,Mojosongo,Susu Segar,Susu Cair,Toko Modern,Titip Jual,53,12274.0,650522.0,26.4,Hujan,Ya,Tidak,115,64,8,6206,Tunai,4.7
2024-01-28,Boyolali Kota,Susu UHT,Susu Cair,Warung,Offline,32,8290.0,265280.0,23.4,Hujan,Ya,Tidak,94,59,2,1320,Tunai,4.6
2024-01-28,Musuk,Es Krim,Snack,Pasar Tradisional,Offline,38,7004.0,266152.0,23.4,Hujan,Ya,Tidak,68,28,16,8674,Tunai,3.9
2024-01-28,Ampel,Susu UHT,Susu Cair,Restoran/Kafe,Offline,43,7904.0,339872.0,23.4,Hujan,Ya,Ya,96,55,14,8897,QRIS,5.0
2024-01-28,Mojosongo,Susu UHT,Susu Cair,Warung,Offline,59,8651.0,510409.0,23.4,Hujan,Ya,Tidak,120,60,8,4271,Tunai,3.8
2024-01-28,Musuk,Susu Segar,Susu Cair,Toko Modern,Online,52,12184.0,633568.0,23.4,Hujan,Ya,Tidak,69,20,16,7505,QRIS,5.0
2024-01-29,Cepogo,Yogurt,Olahan,Warung,Offline,44,9845.0,433180.0,23.9,Hujan,Tidak,Tidak,90,50,14,6753,QRIS,3.7
2024-01-29,Mojosongo,Es Krim,Snack,Restoran/Kafe,Titip Jual,46,7142.0,328532.0,23.9,Hujan,Tidak,Tidak,69,20,7,3895,QRIS,3.9
2024-01-29,Ampel,SUSU SEGAR,Susu Cair,Toko Modern,Offline,79,9840.0,777360.0,23.9,Hujan,Tidak,Ya,108,33,10,5669,QRIS,4.1
2024-01-30,Cepogo,Susu Segar,Susu Cair,Toko Modern,Titip Jual,43,12153.0,522579.0,24.6,Hujan,Tidak,Tidak,84,42,18,9077,Tunai,4.8
2024-01-30,Boyolali Kota,Permen Susu,Snack,Warung,Offline,36,5062.0,182232.0,24.6,Hujan,Tidak,Tidak,101,64,9,5896,QRIS,4.9
2024-01-30,Ampel,Es Krim,Snack,Restoran/Kafe,Titip Jual,48,7085.0,340080.0,24.6,Hujan,Tidak,Tidak,112,61,11,6197,Tunai,4.6
2024-01-31,Musuk,Keju Mozzarella,Olahan,Pasar Tradisional,Online,26,27866.0,724516.0,26.4,Hujan,Tidak,Tidak,44,17,16,8440,QRIS,3.5
2024-01-31,Musuk,Yogurt,Olahan,Restoran/Kafe,Offline,49,10109.0,495341.0,26.4,Hujan,Tidak,Tidak,98,46,17,8898,Transfer,4.1
2024-02-01,Mojosongo,Susu Segar,Susu Cair,Warung,Offline,50,11857.0,592850.0,22.4,Hujan,Tidak,Tidak,74,23,9,5823,QRIS,4.2
2024-02-01,Musuk,Susu UHT,Susu Cair,Toko Modern,Offline,38,8471.0,321898.0,22.4,Hujan,Tidak,Tidak,104,64,17,8087,QRIS,5.0
2024-02-02,Musuk,Susu Segar,Susu Cair,Toko Modern,Offline,66,11538.0,761508.0,26.4,Hujan,Tidak,Tidak,143,80,20,10435,Tunai,4.1
2024-02-02,Ampel,Yogurt,Olahan,Warung,Online,31,10101.0,313131.0,26.4,Hujan,Tidak,Tidak,54,26,11,6979,QRIS,4.7
2024-02-02,Boyolali Kota,Yogurt,Olahan,Warung,Offline,47,10311.0,484617.0,26.4,Hujan,Tidak,Tidak,120,73,4,3548,Tunai,3.9
2024-02-03,Musuk,Yogurt,Olahan,Warung,Titip Jual,43,10041.0,431763.0,25.7,Hujan,Ya,Tidak,99,59,14,7417,Transfer,4.0
2024-02-03,Selo,Keju Mozzarella,Olahan,Pasar Tradisional,Offline,56,28395.0,1590120.0,25.7,Hujan,Ya,Tidak,108,51,21,9401,QRIS,3.3
2024-02-03,Selo,Susu Segar,Susu Cair,Pasar Tradisional,Online,49,11663.0,571487.0,25.7,Hujan,Ya,Tidak,88,44,23,11581,Tunai,4.6
2024-02-04,Ampel,Yogurt,Olahan,Restoran/Kafe,Offline,56,9796.0,548576.0,24.1,Hujan,Ya,Tidak,77,18,17,6948,Transfer,4.2
2024-02-04,Musuk,Permen Susu,Snack,Restoran/Kafe,Offline,29,4881.0,141549.0,24.1,Hujan,Ya,Tidak,81,55,20,11082,QRIS,4.7
2024-02-04,Musuk,Susu UHT,Susu Cair,Toko Modern,Offline,47,8446.0,396962.0,24.1,Hujan,Ya,Tidak,109,66,14,6685,QRIS,4.7
2024-02-04,Boyolali Kota,Susu UHT,Susu Cair,Toko Modern,Offline,36,8635.0,310860.0,24.1,Hujan,Ya,Tidak,92,56,6,4424,Transfer,3.5
2024-02-05,Cepogo,Permen Susu,Snack,Toko Modern,Online,38,5071.0,192698.0,21.9,Hujan,Tidak,Tidak,95,54,18,9698,Transfer,4.0
2024-02-05,Cepogo,Susu Segar,Susu Cair,Toko Modern,Offline,43,12046.0,517978.0,21.9,Hujan,Tidak,Tidak,84,43,16,7042,QRIS,3.9
2024-02-05,Musuk,Permen Susu,Snack,Pasar Tradisional,Offline,37,4934.0,182558.0,21.9,Hujan,Tidak,Tidak,96,57,16,8353,Transfer,4.2
2024-02-05,Mojosongo,Yogurt,Olahan,Toko Modern,Titip Jual,25,10002.0,250050.0,21.9,Hujan,Tidak,Tidak,43,23,6,5516,Tunai,4.1
2024-02-06,Selo,Susu Segar,Susu Cair,Warung,Offline,49,11160.0,546840.0,25.6,Hujan,Tidak,Ya,113,66,24,11741,Tunai,4.4
2024-02-06,Cepogo,Susu UHT,Susu Cair,Warung,Offline,39,8522.0,332358.0,25.6,Hujan,Tidak,Tidak,66,28,14,7742,Tunai,4.4
2024-02-06,Cepogo,Susu UHT,Susu Cair,Warung,Offline,34,8468.0,287912.0,25.6,Hujan,Tidak,Tidak,76,39,17,8573,Tunai,3.6
2024-02-07,Musuk,Permen Susu,Snack,Restoran/Kafe,Titip Jual,33,5049.0,166617.0,23.0,Hujan,Tidak,Tidak,48,12,15,7053,Tunai,4.8
2024-02-07,Ampel,Susu Segar,Susu Cair,Warung,Online,46,12099.0,556554.0,23.0,Hujan,Tidak,Tidak,89,46,13,5964,QRIS,4.7
2024-02-07,Cepogo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,42,12060.0,506520.0,23.0,Hujan,Tidak,Tidak,79,36,18,9456,Transfer,4.1
2024-02-08,Boyolali Kota,Susu Segar,Susu Cair,Warung,Offline,55,11709.0,643995.0,26.5,Hujan,Tidak,Tidak,115,58,3,3051,Tunai,4.3
2024-02-08,Cepogo,Susu Segar,Susu Cair,Restoran/Kafe,Offline,53,12529.0,664037.0,26.5,Hujan,Tidak,Tidak,70,19,14,6410,Transfer,3.4
2024-02-08,Mojosongo,Keju Mozzarella,Olahan,Pasar Tradisional,Offline,8,28372.0,226976.0,26.5,Hujan,Tidak,Tidak,72,65,9,5613,QRIS,3.7
2024-02-08,Cepogo,Susu UHT,Susu Cair,Warung,Offline,51,8429.0,429879.0,26.5,Hujan,Tidak,Tidak,78,25,19,9094,Transfer,3.5
2024-02-09,Cepogo,Keju Mozzarella,Olahan,Toko Modern,Online,12,27117.0,325404.0,24.2,Hujan,Tidak,Tidak,62,50,17,8207,QRIS,5.0
2024-02-09,Ampel,Susu UHT,Susu Cair,Warung,Offline,38,8160.0,310080.0,24.2,Hujan,Tidak,Tidak,72,37,15,9065,Tunai,5.0
2024-02-09,Ampel,Permen Susu,Snack,Restoran/Kafe,Offline,28,4983.0,139524.0,24.2,Hujan,Tidak,Tidak,86,63,11,6815,Transfer,4.7
2024-02-10,Cepogo,Susu Segar,Susu Cair,Pasar Tradisional,Online,40,12011.0,480440.0,26.6,Hujan,Ya,Tidak,79,41,19,9585,QRIS,4.3
2024-02-10,Cepogo,Keju Mozzarella,Olahan,Warung,Offline,40,26040.0,1041600.0,26.6,Hujan,Ya,Ya,60,23,20,9322,QRIS,4.3
2024-02-10,Ampel,Yogurt,Olahan,Toko Modern,Offline,36,9888.0,355968.0,26.6,Hujan,Ya,Tidak,81,49,11,6707,Transfer,4.1
2024-02-11,Mojosongo,Es Krim,Snack,Pasar Tradisional,Titip Jual,39,6970.0,271830.0,22.3,Hujan,Ya,Tidak,77,35,9,4124,Tunai,5.0
2024-02-11,Cepogo,Susu UHT,Susu Cair,Warung,Offline,51,7904.0,403104.0,22.3,Hujan,Ya,Ya,119,70,19,9936,QRIS,3.3
2024-02-11,Selo,Susu UHT,Susu Cair,Pasar Tradisional,Offline,37,8846.0,327302.0,22.3,Hujan,Ya,Tidak,83,49,22,11191,Tunai,3.8
2024-02-12,Mojosongo,Susu UHT,Susu Cair,Warung,Offline,38,7812.0,296856.0,24.9,Hujan,Tidak,Tidak,60,22,7,5269,QRIS,4.8
2024-02-12,Cepogo,Susu UHT,Susu Cair,Pasar Tradisional,Offline,39,8634.0,336726.0,24.9,Hujan,Tidak,Tidak,56,22,18,9623,QRIS,4.4
2024-02-12,Mojosongo,Susu Segar,Susu Cair,Warung,Offline,45,12146.0,546570.0,24.9,Hujan,Tidak,Tidak,81,40,8,4234,QRIS,4.7
2024-02-13,Mojosongo,Susu Segar,Susu Cair,Warung,Online,53,12158.0,644374.0,23.8,Hujan,Tidak,Tidak,122,66,9,5003,Tunai,4.5
2024-02-13,Ampel,Es Krim,Snack,Pasar Tradisional,Offline,23,7093.0,163139.0,23.8,Hujan,Tidak,Tidak,62,41,13,6026,Transfer,4.8
2024-02-13,Cepogo,Permen Susu,Snack,Restoran/Kafe,Online,41,4907.0,201187.0,23.8,Hujan,Tidak,Tidak,105,64,17,8224,Transfer,4.5
2024-02-14,Selo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,47,12134.0,570298.0,25.1,Hujan,Tidak,Tidak,100,57,21,10275,Transfer,3.5
2024-02-14,Selo,Yogurt,Olahan,Warung,Offline,50,10015.0,500750.0,25.1,Hujan,Tidak,Tidak,118,70,24,11857,Tunai,2.9
2024-02-14,Ampel,Es Krim,Snack,Restoran/Kafe,Titip Jual,23,7252.0,166796.0,25.1,Hujan,Tidak,Tidak,50,25,13,7551,Tunai,4.2
2024-02-15,Selo,Es Krim,Snack,Restoran/Kafe,Offline,37,7434.0,275058.0,25.8,Hujan,Tidak,Tidak,52,13,22,10997,Tunai,4.0
2024-02-15,Cepogo,Yogurt,Olahan,Restoran/Kafe,Offline,77,10342.0,796334.0,25.8,Hujan,Tidak,Tidak,116,39,18,10026,Tunai,3.9
2024-02-15,Mojosongo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,59,11962.0,705758.0,25.8,Hujan,Tidak,Tidak,84,30,9,5687,Tunai,3.8
2024-02-16,Mojosongo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,71,11952.0,848592.0,25.4,Hujan,Tidak,Tidak,109,42,11,6300,Tunai,3.8
2024-02-17,Mojosongo,Keju Mozzarella,Olahan,Toko Modern,Offline,38,27310.0,1037780.0,24.1,Hujan,Ya,Tidak,59,25,8,4011,Transfer,3.9
2024-02-17,Boyolali Kota,Yogurt,Olahan,Warung,Offline,41,10051.0,412091.0,24.1,Hujan,Ya,Tidak,119,75,7,5236,QRIS,3.8
2024-02-18,Mojosongo,Susu Segar,Susu Cair,Pasar Tradisional,Online,46,12135.0,558210.0,23.0,Hujan,Ya,Tidak,112,63,9,5659,Tunai,3.8
2024-02-18,Musuk,Susu UHT,Susu Cair,Warung,Offline,37,8303.0,307211.0,23.0,Hujan,Ya,Tidak,102,64,15,7341,Transfer,4.8
2024-02-18,Mojosongo,Permen Susu,Snack,Warung,Offline,30,5112.0,153360.0,23.0,Hujan,Ya,Tidak,61,36,9,4857,QRIS,4.4
2024-02-19,Cepogo,Es Krim,Snack,Toko Modern,Online,37,6900.0,255300.0,24.5,Hujan,Tidak,Tidak,84,51,18,9271,QRIS,4.0
2024-02-19,Mojosongo,Es Krim,Snack,Warung,Offline,35,6960.0,243600.0,24.5,Hujan,Tidak,Tidak,76,46,3,3144,QRIS,3.8
2024-02-19,Ampel,Susu Segar,Susu Cair,Warung,Offline,50,12507.0,625350.0,24.5,Hujan,Tidak,Tidak,126,79,15,7563,Tunai,4.9
2024-02-20,Ampel,Yogurt,Olahan,Toko Modern,Offline,66,8200.0,541200.0,24.5,Hujan,Tidak,Ya,138,76,12,6128,Transfer,4.1
2024-02-20,Boyolali Kota,Keju Mozzarella,Olahan,Restoran/Kafe,Offline,37,28335.0,1048395.0,24.5,Hujan,Tidak,Tidak,90,50,5,3703,QRIS,5.0
2024-02-20,Ampel,Susu UHT,Susu Cair,Pasar Tradisional,Offline,52,8405.0,437060.0,24.5,Hujan,Tidak,Tidak,116,64,19,10735,Transfer,3.3
2024-02-20,Musuk,Es Krim,Snack,Warung,Offline,34,6784.0,230656.0,24.5,Hujan,Tidak,Tidak,85,55,19,7415,QRIS,3.3
2024-02-21,Selo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,52,,,25.7,Hujan,Tidak,Tidak,69,17,22,10013,Transfer,4.7
2024-02-21,Mojosongo,Susu Segar,Susu Cair,Warung,Offline,46,11666.0,536636.0,25.7,Hujan,Tidak,Tidak,63,14,6,4514,Tunai,4.1
2024-02-21,Ampel,Susu Segar,Susu Cair,Warung,Offline,37,12194.0,451178.0,25.7,Hujan,Tidak,Tidak,107,73,11,6941,QRIS,4.7
2024-02-22,Selo,Susu Segar,Susu Cair,Warung,Offline,51,11951.0,609501.0,22.5,Hujan,Tidak,Tidak,70,23,23,11654,QRIS,4.1
2024-02-22,Ampel,Susu UHT,Susu Cair,Warung,Offline,39,8795.0,343005.0,22.5,Hujan,Tidak,Tidak,101,65,14,8036,QRIS,4.2
2024-02-22,Mojosongo,Susu UHT,Susu Cair,Warung,Titip Jual,50,8640.0,432000.0,22.5,Hujan,Tidak,Tidak,84,32,12,6048,Transfer,4.4
2024-02-23,Boyolali Kota,Es Krim,Snack,Restoran/Kafe,Offline,31,6762.0,209622.0,26.0,Hujan,Tidak,Tidak,92,62,7,5554,QRIS,3.6
2024-02-23,Cepogo,Susu UHT,Susu Cair,Restoran/Kafe,Offline,28,8483.0,237524.0,26.0,Hujan,Tidak,Tidak,67,42,19,8969,Tunai,3.8
